,,Invention,Invention,Invention,Utility Model,Utility Model,Utility Model
,,Sub-total,Domestic,Foreign,Sub-total,Domestic,Foreign
,分类  Classification,,,,,,
合计  Total,合计  Total,798347,695591,102756,2804155,2796049,8106
A 部  Section A,A 部  Section A,72442,60191,12251,389197,387583,1614
A01,农业；林业；畜牧业；狩猎；诱捕；捕鱼,15624,14465,1159,80376,80287,89
A01,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,,,,,,
A21,焙烤；制作或处理面团的设备；焙烤用面团,606,566,40,3649,3640,9
A21,Baking; Equipment For Making Or Processing Doughs; Doughs For Baking,,,,,,
A22,屠宰；肉品处理；家禽或鱼的加工,559,512,47,2913,2910,3
A22,Butchering; Meat Treatment; Processing Poultry Or Fish,,,,,,
A23,其他类不包含的食品或食料；及其处理,4010,3779,231,13736,13723,13
A23,"Foods Or Foodstuffs; Treatment Thereof, Not Covered By Other Classes",,,,,,
A24,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,1658,1219,439,7914,7891,23
A24,Tobacco; Cigars; Cigarettes; Simulated Smoking Devices; Smokers Requisites,,,,,,
A41,服装,534,442,92,11861,11818,43
A41,Wearing Apparel,,,,,,
A42,帽类制品,98,51,47,1872,1860,12
A42,Headwear,,,,,,
A43,鞋类,725,377,348,6108,6088,20
A43,Footwear,,,,,,
A44,服饰缝纫用品；珠宝,330,198,132,3232,3209,23
A44,Haberdashery; Jewellery,,,,,,
A45,手携物品或旅行品,502,277,225,9179,9088,91
A45,Hand Or Travelling Articles,,,,,,
A46,刷类制品,152,86,66,1447,1415,32
A46,Brushware,,,,,,
A47,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,7488,6306,1182,86395,86068,327
A47,Furniture; Domestic Articles Or Appliances; Coffee Mills; Spice Mills; Suction Cleaners  In General,,,,,,
A61,医学或兽医学；卫生学,34817,27147,7670,133534,132730,804
A61,Medical Or Veterinary Science; Hygiene,,,,,,
A62,救生；消防,1612,1478,134,8756,8727,29
A62,Life-Saving; Fire-Fighting,,,,,,
A63,运动；游戏；娱乐活动,3727,3288,439,18224,18129,95
A63,Sports; Games; Amusements,,,,,,
A99,本部其他类目中不包括的技术主题,0,0,0,1,0,1
A99,Subject Matter Not Otherwise Provided For In This Section,,,,,,
B 部  Section B,B 部  Section B,144203,123732,20471,1086031,1084063,1968
B01,一般的物理或化学的方法或装置,19671,17798,1873,141415,141302,113
B01,Physical Or Chemical Processes Or Apparatus In General,,,,,,
B02,破碎、磨粉或粉碎；谷物碾磨的预处理,2853,2768,85,29484,29458,26
B02,"Crushing, Pulverising, Or Disintegrating; Preparatory Treatment Of Grain For Milling",,,,,,
B03,用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离,971,925,46,5020,5010,10
B03,Separation Of Solid Materials Using Liquids Or Using Pneumatic Tables Or Jigs; Magnetic  Or Electrostatic Separation Of Solid Materials From Solid Materials Or Fluids; Separation By High-Voltage  Electric Fields,,,,,,
B04,用于实现物理或化学工艺过程的离心装置或离心机,277,221,56,2845,2844,1
B04,Centrifugal Apparatus Or Machines For Carrying-Out Physical Or Chemical Processes,,,,,,
B05,一般喷射或雾化；对表面涂覆流体的一般方法,4050,3590,460,32325,32271,54
B05,"Spraying Or Atomising In General; Applying Fluent Materials To Surfaces, In General",,,,,,
B06,一般机械振动的发生或传递,193,125,68,243,236,7
B06,Generating Or Transmitting Mechanical Vibrations In General,,,,,,
B07,将固体从固体中分离；分选,2284,2218,66,26004,25998,6
B07,Separating Solids From Solids; Sorting,,,,,,
B08,清洁,3745,3616,129,38170,38140,30
B08,Cleaning,,,,,,
B09,固体废物的处理；被污染土壤的再生,1525,1497,28,4929,4926,3
B09,Disposal Of Solid Waste; Reclamation Of Contaminated Soil,,,,,,
B21,基本上无切削的金属机械加工；金属冲压,5628,5333,295,53368,53343,25
B21,Mechanical Metal-Working Without Essentially Removing Material; Punching Metal,,,,,,
B22,铸造；粉末冶金,4191,3689,502,13749,13731,18
B22,Casting; Powder Metallurgy,,,,,,
B23,机床；其他类目中不包括的金属加工,16178,15088,1090,120091,120015,76
B23,Machine Tools; Metal-Working Not Otherwise Provided For,,,,,,
B24,磨削；抛光,4680,4385,295,39665,39636,29
B24,Grinding; Polishing,,,,,,
B25,手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手,7224,6414,810,48798,48691,107
B25,Hand Tools; Portable Power-Driven Tools; Handles For Hand Implements; Workshop  Equipment; Manipulators,,,,,,
B26,手动切割工具；切割；切断,2012,1827,185,26905,26875,30
B26,Hand Cutting Tools; Cutting; Severing,,,,,,
B27,木材或类似材料的加工或保存；一般钉钉机或钉 U 形钉机,2049,1944,105,8145,8142,3
B27,Working Or Preserving Wood Or Similar Material; Nailing Or Stapling Machines In General,,,,,,
B28,加工水泥、黏土或石料,2379,2292,87,23892,23890,2
B28,"Working Cement, Clay, Or Stone",,,,,,
B29,塑料的加工；一般处于塑性状态物质的加工,7119,5626,1493,61078,60989,89
B29,Working Of Plastics; Working Of Substances In A Plastic State In General,,,,,,
B30,压力机,483,433,50,6553,6551,2
B30,Presses,,,,,,
B31,纸品或纸板或类似纸的方式加工的材料制品制作；纸或纸板或类似纸的方式加工的材料的加工,488,448,40,8334,8333,1
