,,合计  Total,职务  Service,非职务  Non-service
,,21963,20433,1530
,地区Regions,,,
天津,Tianjin,4304,3671,633
河北,Hebei,15106,6471,8635
山西,Shanxi,2508,1649,859
内蒙古,Inner Mongolia,1686,1103,583
辽宁,Liaoning,4431,2630,1801
吉林,Jilin,2457,1418,1039
黑龙江,Heilongjiang,2775,1096,1679
上海,Shanghai,22880,21595,1285
江苏,Jiangsu,42922,34662,8260
浙江,Zhejiang,97588,62062,35526
安徽,Anhui,13066,8404,4662
福建,Fujian,26782,16862,9920
江西,Jiangxi,18796,5370,13426
山东,Shandong,22715,15884,6831
河南,Henan,15067,7712,7355
湖北,Hubei,12368,6559,5809
湖南,Hunan,15796,5725,10071
广东,Guangdong,227144,148577,78567
广西,Guangxi,6749,2123,4626
海南,Hainan,870,576,294
重庆,Chongqing,7047,5036,2011
四川,Sichuan,19592,12117,7475
贵州,Guizhou,5242,2887,2355
云南,Yunnan,3262,2258,1004
西藏,Tibet,192,145,47
陕西,Shaanxi,4864,3312,1552
甘肃,Gansu,1767,1199,568
青海,Qinghai,278,186,92
宁夏,Ningxia,604,484,120
新疆,Xinjiang,1258,748,510
台湾,Taiwan,1192,900,292
香港,Hong Kong,1253,1036,217
澳门,Macao,39,7,32
广州,Guangzhou,33255,25027,8228
长春,Changchun,1490,1092,398
武汉,Wuhan,5363,4475,888
南京,Nanjing,4680,4149,531
杭州,Hangzhou,16478,14398,2080
西安,Xi'an,3252,2556,696
济南,Jinan,3012,2318,694
沈阳,Shenyang,1744,1093,651
成都,Chengdu,11466,9108,2358
大连,Dalian,1098,754,344
厦门,Xiamen,7258,6643,615
哈尔滨,Harbin,1313,677,636
深圳,Shenzhen,66449,58897,7552
青岛,Qingdao,5628,4940,688
宁波,Ningbo,18668,13360,5308
新疆兵团,Xinjiang  Bingtuan,94,33,61
