,,合计  Total,农业；林业；畜牧业；狩猎；诱捕；捕鱼,焙烤；制作或处理面团的设备；焙烤用面团,屠宰；肉品处理；家禽或鱼的加工,其他类不包含的食品或食料；及其处理,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,服装,帽类制品,鞋类,服饰缝纫用品；珠宝,手携物品或旅行品,刷类制品,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,医学或兽医学；卫生学,救生；消防,运动；游戏；娱乐活动,本部其他类目中不包括的技术主题,一般的物理或化学的方法或装置,破碎、磨粉或粉碎；谷物碾磨的预处理,用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离,用于实现物理或化学工艺过程的离心装置或离心机,一般喷射或雾化；对表面涂覆流体的一般方法,一般机械振动的发生或传递,将固体从固体中分离；分选,清洁,固体废物的处理；被污染土壤的再生,基本上无切削的金属机械加工；金属冲压,铸造；粉末冶金,机床；其他类目中不包括的金属加工,磨削；抛光,手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手,手动切割工具；切割；切断,木材或类似材料的加工或保存；一般钉钉机或钉U形钉机,加工水泥、黏土或石料,塑料的加工；一般处于塑性状态物质的加工,压力机,纸品或纸板或类似纸的方式加工的材料制品制作；纸或纸板或类似纸的方式加工的材料的加工,层状产品,增材制造技术,印刷；排版机；打字机；模印机,装订；图册；文件夹；特种印刷品,书写或绘图器具；办公用品,装饰艺术,一般车辆,铁路,无轨陆用车辆 B62B手动车辆，例如手推车或摇篮车；雪橇,船舶或其他水上船只；与船有关的设备,飞行器；航空；宇宙航行,输送；包装；贮存；搬运薄的或细丝状材料,卷扬；提升；牵引,开启或封闭瓶子、罐或类似的容器；液体的贮运,鞍具；家具罩面,微观结构技术,超微技术,无机化学,水、废水、污水或污泥的处理,玻璃；矿棉或渣棉,水泥；混凝土；人造石；陶瓷；耐火材料〔4〕,肥料；肥料制造〔4〕,炸药；火柴,有机化学〔2）,有机高分子化合物；其制备或化学加工；以其为基料的组合物,染料；涂料；抛光剂；天然树脂；黏合剂；其他类目不包含的组合物；其他类目不包含的材料的应用,石油、煤气及炼焦工业；含一氧化碳的工业气体；燃料；润滑剂；泥煤,动物或植物油、脂、脂肪物质或蜡；由此制取的脂肪酸；洗涤剂；蜡烛,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程,糖工业〔4〕,小原皮；大原皮；毛皮或皮革,铁的冶金,冶金；黑色或有色金属合金；合金或有色金属的处理,对金属材料的镀覆；用金属材料对材料的镀覆；表面化学处理；金属材料的扩散处理；真空蒸发法、溅射法、离子注入法或化学气相沉积法的一般镀覆；金属材料腐蚀或积垢的一般抑制,电解或电泳工艺；其所用设备,晶体生长,组合技术,天然或化学的线或纤维；纺纱或纺丝,纱线；纱线或绳索的机械整理；整经或络经,织造,编织；花边制作；针织；饰带；非织造布,缝纫；绣花；簇绒,织物等的处理；洗涤；其他类不包括的柔性材料,绳；除电缆以外的缆索,造纸；纤维素的生产,道路，铁路和桥梁的建筑,水利工程；基础；疏浚,给水；排水,建筑物,锁；钥匙；门窗；保险箱,一般门、窗、百叶窗或卷辊遮帘；梯子,土层或岩石的钻进；采矿,一般机器或发动机；一般的发动机装置；蒸汽机,燃烧发动机；热气或燃烧生成物的发动机装置,液力机械或液力发动机；风力、弹力或重力发动机；其他类目中不包括的产生机械动力或反推力的发动机,液体变容式机械；液体泵或弹性流体泵,流体压力执行机构；一般液压技术和气动技术,工程元件或部件；为产生和保持机器或设备的有效运行的一般措施；一般绝热,气体或液体的贮存或分配,照明,蒸汽的发生,燃烧设备；燃烧方法,供热；炉灶；通风,制冷或冷却；加热和制冷的联合系统；热泵系统；冰的制造或储存；气体的液化或固化,干燥,炉；窑；烘烤炉；蒸馏炉,一般热交换,武器,弹药；爆破,测量；测试,光学技术,摄影术；电影术；利用了光波以外其他波的类似技术；电记录术；全息摄影术,测时学,控制；调节,计算；推算；计数技术,核算装置,信号装置,教育；密码术；显示；广告；印鉴,乐器；声学,信息存储,仪器的结构零部件,特别适用于特定应用领域的信息通信技术,核物理；核工程,基本电气元件,发电、变电或配电,基本电子电路,电通信技术,其它类不包括的电技术,nan,nan,nan,nan,nan,nan
比利时,BE,793,12,1,0,6,0,1,2,0,2,1,7,6,112,0,1,36,18,1,0,0,4,2,0,1,0,4,3,4,1,0,0,0,0,12,0,0,8,0,10,1,0,1,38,0,0,1,0,13,4,2,1,0,0,3,3,15,4,0,0,57,14,25,0,1,30,0,4,2,8,8,4,0,0,0,1,6,0,1,1,1,1,0,0,0,17,1,9,0,4,0,1,10,1,23,4,0,0,0,0,2,0,0,1,3,1,35,6,7,1,2,25,1,0,5,1,0,0,12,1,59,8,6,36,6,,,,,,
保加利亚,BG,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,0,0,,,,,,
百慕大,BM,70,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,17,0,,,,,,
巴西,BR,253,6,0,0,2,0,0,0,0,0,0,0,0,11,0,5,5,3,1,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,4,1,1,2,1,6,0,0,0,0,0,1,2,0,0,1,0,5,7,2,1,0,11,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,1,0,8,1,1,1,0,0,7,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,3,66,0,0,1,6,0,0,0,0,3,4,0,47,2,,,,,,
巴哈马,BS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
伯利兹,BZ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
加拿大,CA,1212,35,0,0,6,7,3,0,4,0,7,0,21,161,0,7,4,24,3,1,0,3,1,1,0,0,3,7,9,0,8,3,2,3,29,0,0,6,0,0,0,0,0,40,0,10,2,17,18,0,0,0,1,0,10,8,1,0,2,0,63,26,4,4,1,54,0,0,3,7,3,6,0,0,0,0,0,0,0,1,1,0,2,0,2,3,24,1,18,1,7,5,4,2,31,2,5,0,1,2,2,0,0,5,1,0,90,14,1,0,9,101,4,4,13,4,2,1,9,1,75,38,13,67,8,,,,,,
刚果（金）,CD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
瑞士,CH,4510,55,0,0,103,262,2,1,2,24,6,2,82,629,2,9,244,63,7,2,2,24,1,2,2,0,8,12,33,1,46,1,6,3,39,2,6,18,1,18,14,0,3,114,3,72,9,6,139,68,0,0,0,0,9,10,2,24,1,0,319,94,40,5,14,102,0,0,0,3,19,8,0,0,30,0,0,1,0,2,0,1,7,11,10,12,6,3,7,14,22,6,30,6,72,4,7,1,3,10,4,0,1,9,0,0,368,33,7,160,63,159,8,10,6,2,8,0,36,2,256,155,31,106,23,,,,,,
库克群岛,CK,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
智利,CL,24,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,
中国,CN,1458282,29769,1454,770,18030,3102,1882,439,1022,652,1258,303,17143,71349,2905,7815,2480,37647,6797,1989,541,8470,159,5925,8121,2918,14290,7105,34072,10114,13207,4989,2984,6142,16291,1310,1598,4389,8,4062,449,708,926,24543,3403,7066,4965,6041,35821,9785,1320,55,479,17,9895,17315,3810,12605,3467,336,26357,25832,16464,4812,2019,27033,73,332,4051,9411,6419,4914,1597,106,3175,729,1113,2175,1175,10072,245,1976,11174,13403,3855,23033,3122,2692,15222,3637,4516,3523,7714,2284,24616,1969,4829,1006,4136,16677,6094,3954,2351,2734,1108,1382,118473,12806,3108,508,19404,231757,5569,9038,11142,6290,1989,29,8070,1315,69855,42118,5528,87247,12418,,,,,,
哥伦比亚,CO,10,2,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
哥斯达黎加,CR,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
古巴,CU,6,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
塞浦路斯,CY,20,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,4,0,,,,,,
捷克,CZ,49,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,4,3,,,,,,
德国,DE,16872,141,7,14,30,15,8,9,37,3,12,7,223,965,15,20,704,257,16,13,9,67,8,12,32,1,92,90,257,43,192,24,29,11,268,18,5,65,10,86,18,1,8,1673,58,254,16,56,243,69,47,2,42,0,66,17,73,39,6,1,450,400,262,28,26,144,0,2,27,46,65,49,13,0,43,10,12,44,4,58,0,42,56,27,36,44,143,13,17,256,238,66,211,57,963,19,59,1,29,67,69,8,15,31,2,3,1249,198,52,1,316,937,51,88,26,59,14,0,66,8,1383,809,135,598,223,,,,,,
丹麦,DK,1156,11,3,2,40,0,0,0,12,1,0,0,1,164,0,19,48,20,1,2,0,4,0,2,0,1,1,2,1,0,5,2,0,0,31,0,0,2,1,0,0,0,0,1,0,3,3,1,9,11,2,0,0,0,17,0,1,0,0,0,61,10,7,11,8,76,0,1,0,1,1,8,1,0,0,1,0,1,0,3,0,3,1,1,1,12,0,1,3,9,6,163,18,3,32,1,3,0,2,3,13,3,0,15,0,0,49,8,0,0,7,16,0,1,1,4,0,0,9,1,11,47,0,91,4,,,,,,
多米尼加,DO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
爱沙尼亚,EE,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,
埃及,EG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
西班牙,ES,491,9,0,2,5,0,0,2,0,0,1,0,4,83,0,2,13,8,0,0,0,4,0,0,0,0,3,1,13,0,3,0,0,1,15,0,0,5,0,4,0,0,2,24,0,7,1,17,10,8,0,0,0,1,3,0,0,1,2,0,26,7,0,0,0,16,0,0,2,1,3,4,0,0,4,0,0,1,1,5,0,0,1,7,1,3,4,1,0,2,2,22,5,0,11,0,2,0,2,7,0,2,0,3,1,0,20,5,0,0,5,8,1,1,7,0,1,0,2,0,19,10,1,8,3,,,,,,
芬兰,FI,1106,6,0,0,2,0,0,0,2,0,1,0,4,45,4,2,17,38,10,11,3,0,0,3,1,0,2,0,1,3,0,2,8,0,14,1,1,8,0,0,0,0,0,7,0,2,8,0,14,79,0,0,0,1,6,7,6,0,0,0,8,21,9,17,4,11,0,0,1,5,6,1,0,0,0,0,1,2,0,0,0,56,3,4,0,3,2,0,4,2,4,2,0,0,5,4,3,1,3,5,2,0,1,3,0,0,47,4,1,0,6,56,3,0,2,16,0,0,2,0,31,11,13,396,6,,,,,,
法国,FR,5080,42,3,0,36,0,9,1,2,4,62,7,60,562,6,14,335,79,2,1,0,34,5,2,1,3,10,28,29,4,14,0,2,1,120,0,2,20,9,5,6,4,0,390,9,75,14,131,44,14,8,0,6,1,48,18,32,22,3,0,146,113,54,44,9,96,1,1,0,25,24,7,4,0,3,1,6,8,1,12,7,3,1,7,1,12,13,15,6,112,88,6,36,5,143,66,40,1,19,9,43,2,2,29,1,1,283,98,2,1,36,252,4,15,11,9,9,0,15,20,296,178,37,212,40,,,,,,
英国,GB,2940,31,1,1,5,116,3,0,4,0,7,1,69,395,9,10,156,97,0,3,1,11,3,2,1,1,10,16,13,0,15,3,2,0,15,0,0,6,1,14,2,0,0,50,2,13,6,51,35,2,6,0,1,1,16,9,13,4,1,0,139,23,25,21,7,132,0,0,1,7,10,5,1,1,5,2,4,2,0,11,0,0,0,8,1,6,5,2,15,33,46,29,19,2,96,1,7,0,8,5,8,0,0,10,2,1,146,47,11,2,15,279,3,7,7,12,10,0,29,3,150,70,26,161,28,,,,,,
