,,合计  Total,职务  Service,非职务  Non-service
,,72978,68092,4886
,地区Regions,,,
天津,Tianjin,45545,43055,2490
河北,Hebei,61730,50946,10784
山西,Shanxi,19731,15117,4614
内蒙古,Inner Mongolia,16095,11564,4531
辽宁,Liaoning,47071,40351,6720
吉林,Jilin,19076,16468,2608
黑龙江,Heilongjiang,18161,11890,6271
上海,Shanghai,85862,83277,2585
江苏,Jiangsu,349558,340359,9199
浙江,Zhejiang,212586,200786,11800
安徽,Anhui,89478,83304,6174
福建,Fujian,72383,68768,3615
江西,Jiangxi,41156,37090,4066
山东,Shandong,184814,150686,34128
河南,Henan,92827,83883,8944
湖北,Hubei,87056,80816,6240
湖南,Hunan,46340,40836,5504
广东,Guangdong,352747,329226,23521
广西,Guangxi,26650,22134,4516
海南,Hainan,8243,7519,724
重庆,Chongqing,40914,37880,3034
四川,Sichuan,75285,68343,6942
贵州,Guizhou,20228,14825,5403
云南,Yunnan,25495,23011,2484
西藏,Tibet,1442,1336,106
陕西,Shaanxi,45532,39431,6101
甘肃,Gansu,15543,11382,4161
青海,Qinghai,4487,3403,1084
宁夏,Ningxia,9362,8378,984
新疆,Xinjiang,12888,10077,2811
台湾,Taiwan,4277,3143,1134
香港,Hong Kong,698,536,162
澳门,Macao,65,22,43
广州,Guangzhou,62832,54160,8672
长春,Changchun,14053,12874,1179
武汉,Wuhan,45554,43182,2372
南京,Nanjing,48611,46900,1711
杭州,Hangzhou,55274,52547,2727
西安,Xi'an,34140,30681,3459
济南,Jinan,34569,29910,4659
沈阳,Shenyang,16209,13992,2217
成都,Chengdu,43030,40246,2784
大连,Dalian,13664,12662,1002
厦门,Xiamen,18749,18149,600
哈尔滨,Harbin,9782,7390,2392
深圳,Shenzhen,116123,112426,3697
青岛,Qingdao,40980,38007,2973
宁波,Ningbo,31243,29586,1657
新疆兵团,Xinjiang  Bingtuan,1544,1307,237
