,,合计 Total,农业；林业；畜牧业；狩猎；诱捕；捕鱼,焙烤；制作或处理面团的设备；焙烤用面团,屠宰；肉品处理；家禽或鱼的加工,其他类不包含的食品或食料；及其处理,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,服装,帽类制品,鞋类,服饰缝纫用品；珠宝,手携物品或旅行品,刷类制品,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,医学或兽医学；卫生学,救生；消防,运动；游戏；娱乐活动,一般的物理或化学的方法或装置,破碎、磨粉或粉碎；谷物碾磨的预处理,用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离,用于实现物理或化学工艺过程的离心装置或离心机,一般喷射或雾化；对表面涂覆流体的一般方法,一般机械振动的发生或传递,将固体从固体中分离；分选,清洁,固体废物的处理；被污染土壤的再生,基本上无切削的金属机械加工；金属冲压,铸造；粉末冶金,机床；其他类目中不包括的金属加工,磨削；抛光,手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手,手动切割工具；切割；切断,木材或类似材料的加工或保存；一般钉钉机或钉U形钉机,加工水泥、黏土或石料,塑料的加工；一般处于塑性状态物质的加工,压力机,纸品或纸板或类似纸的方式加工的材料制品制作；纸或纸板或类似纸的方式加工的材料的加工,层状产品,增材制造技术,印刷；排版机；打字机；模印机,装订；图册；文件夹；特种印刷品,书写或绘图器具；办公用品,装饰艺术,一般车辆,铁路,无轨陆用车辆 B62B手动车辆，例如手推车或摇篮车；雪橇,船舶或其他水上船只；与船有关的设备,飞行器；航空；宇宙航行,输送；包装；贮存；搬运薄的或细丝状材料,卷扬；提升；牵引,开启或封闭瓶子、罐或类似的容器；液体的贮运,鞍具；家具罩面,微观结构技术,超微技术,无机化学,水、废水、污水或污泥的处理,玻璃；矿棉或渣棉,水泥；混凝土；人造石；陶瓷；耐火材料〔4〕,肥料；肥料制造〔4〕,炸药；火柴,有机化学〔2）,有机高分子化合物；其制备或化学加工；以其为基料的组合物,染料；涂料；抛光剂；天然树脂；黏合剂；其他类目不包含的组合物；其他类目不包含的材料的应用,石油、煤气及炼焦工业；含一氧化碳的工业气体；燃料；润滑剂；泥煤,动物或植物油、脂、脂肪物质或蜡；由此制取的脂肪酸；洗涤剂；蜡烛,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程,糖工业〔4〕,小原皮；大原皮；毛皮或皮革,铁的冶金,冶金；黑色或有色金属合金；合金或有色金属的处理,对金属材料的镀覆；用金属材料对材料的镀覆；表面化学处理；金属材料的扩散处理；真空蒸发法、溅射法、离子注入法或化学气相沉积法的一般镀覆；金属材料腐蚀或积垢的一般抑制,电解或电泳工艺；其所用设备,晶体生长,组合技术,天然或化学的线或纤维；纺纱或纺丝,纱线；纱线或绳索的机械整理；整经或络经,织造,编织；花边制作；针织；饰带；非织造布,缝纫；绣花；簇绒,织物等的处理；洗涤；其他类不包括的柔性材料,绳；除电缆以外的缆索,造纸；纤维素的生产,道路，铁路和桥梁的建筑,水利工程；基础；疏浚,给水；排水,建筑物,锁；钥匙；门窗；保险箱,一般门、窗、百叶窗或卷辊遮帘；梯子,土层或岩石的钻进；采矿,一般机器或发动机；一般的发动机装置；蒸汽机,燃烧发动机；热气或燃烧生成物的发动机装置,液力机械或液力发动机；风力、弹力或重力发动机；其他类目中不包括的产生机械动力或反推力的发动机,液体变容式机械；液体泵或弹性流体泵,流体压力执行机构；一般液压技术和气动技术,工程元件或部件；为产生和保持机器或设备的有效运行的一般措施；一般绝热,气体或液体的贮存或分配,照明,蒸汽的发生,燃烧设备；燃烧方法,供热；炉灶；通风,制冷或冷却；加热和制冷的联合系统；热泵系统；冰的制造或储存；气体的液化或固化,干燥,炉；窑；烘烤炉；蒸馏炉,一般热交换,武器,弹药；爆破,测量；测试,光学技术,摄影术；电影术；利用了光波以外其他波的类似技术；电记录术；全息摄影术,测时学,控制；调节,计算；推算；计数技术,核算装置,信号装置,教育；密码术；显示；广告；印鉴,乐器；声学,信息存储,仪器的结构零部件,特别适用于特定应用领域的信息通信技术,核物理；核工程,基本电气元件,发电、变电或配电,基本电子电路,电通信技术,其它类不包括的电技术,nan,nan,nan,nan,nan,nan,nan
比利时,BE,541,5,0,0,5,0,0,1,0,0,0,6,7,44,0,1,16,1,0,0,1,0,1,0,0,1,7,3,0,2,0,1,1,3,1,1,7,0,9,0,0,1,30,1,5,0,0,9,2,2,0,0,0,4,0,11,3,0,0,66,18,12,1,0,15,0,0,3,6,5,1,0,0,1,0,15,3,3,0,0,0,1,0,0,7,1,0,0,6,4,1,11,0,25,3,4,0,0,0,1,0,0,4,2,0,31,11,6,1,0,16,1,2,1,0,0,0,0,1,35,2,3,15,5,,,,,,,
保加利亚,BG,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,,,,,,,
布隆迪,BI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
百慕大,BM,99,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,5,0,0,0,0,0,0,0,0,8,3,25,25,0,,,,,,,
巴西,BR,67,2,0,0,0,0,0,1,0,0,0,0,1,5,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,3,0,,,,,,,
巴哈马,BS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
白俄罗斯,BY,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
加拿大,CA,687,12,0,1,1,0,0,1,1,0,0,0,11,88,4,6,7,0,0,0,2,2,1,1,2,3,2,1,0,3,2,0,0,21,0,1,1,0,0,1,0,1,16,1,18,1,14,13,1,0,0,0,0,3,2,0,0,0,0,33,5,1,5,0,20,1,0,0,2,1,2,2,0,0,0,0,1,0,0,0,1,2,0,1,1,35,0,5,8,13,1,3,0,22,4,0,0,0,8,1,0,0,8,0,0,31,12,1,0,4,29,3,2,15,2,0,0,3,2,33,19,4,90,6,,,,,,,
瑞士,CH,2956,30,0,1,40,176,2,0,2,16,3,1,67,345,3,5,68,13,3,2,22,0,1,0,2,9,7,37,4,23,3,8,3,54,1,7,27,0,19,8,0,1,35,1,16,7,4,139,55,9,1,0,0,6,6,1,8,1,1,232,76,47,0,8,67,0,0,1,4,10,4,0,1,21,2,3,2,1,2,0,6,10,8,12,5,7,3,2,19,15,3,28,2,49,5,4,0,19,11,4,3,0,3,0,2,262,20,4,196,23,56,7,5,3,3,2,0,5,0,124,127,7,95,13,,,,,,,
智利,CL,19,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,
喀麦隆,CM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
中国,CN,585910,14313,483,410,3532,839,388,64,415,258,369,106,6147,23914,1430,3075,14869,2606,790,170,3389,113,1924,2986,1367,4129,3549,12928,4108,5394,1730,1446,2320,5055,484,478,1454,3,1661,207,252,302,9817,1526,2710,1995,2627,10977,2682,422,26,149,11,4221,5358,1554,6086,617,289,16135,13318,8478,2622,686,14427,31,263,1541,5676,2648,1958,710,45,1731,374,429,953,666,3820,83,871,4316,4888,1367,7936,1123,597,5699,1237,1850,1095,2108,574,7498,679,1286,238,808,7170,2173,987,474,850,372,494,46990,6301,1537,278,8640,73292,2324,4442,5458,2485,1260,32,2049,430,32666,16451,1926,61177,4364,,,,,,,
哥伦比亚,CO,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
哥斯达黎加,CR,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
古巴,CU,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
塞浦路斯,CY,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,0,,,,,,,
捷克,CZ,52,0,0,0,0,0,0,0,0,0,0,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,2,2,,,,,,,
德国,DE,11758,103,4,9,13,16,5,2,33,1,8,4,194,696,20,20,254,22,2,4,88,15,7,12,0,88,82,238,40,116,49,25,10,264,13,9,47,0,103,28,3,2,921,54,148,11,44,233,87,28,0,6,0,11,7,40,29,5,2,267,369,181,28,25,69,0,3,21,16,52,28,13,0,41,6,7,46,10,67,3,29,57,12,51,29,190,11,14,304,382,51,160,46,822,11,87,3,20,49,105,10,4,17,1,0,782,156,68,6,153,234,28,99,23,30,7,0,18,3,981,428,69,498,183,,,,,,,
丹麦,DK,822,7,1,4,8,0,0,0,2,0,0,0,9,124,1,6,20,1,0,0,0,0,1,1,0,0,2,2,1,2,0,1,0,31,1,0,1,0,0,0,0,0,2,0,9,2,0,9,8,6,0,0,0,4,2,0,0,0,0,41,6,3,3,11,40,0,0,0,1,0,3,2,0,0,0,0,3,0,0,0,0,0,2,0,7,5,1,1,6,10,122,29,3,14,1,6,0,1,10,4,3,0,5,0,0,27,4,0,0,2,7,0,2,0,1,0,0,0,0,7,24,0,136,1,,,,,,,
多米尼加,DO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
爱沙尼亚,EE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
埃及,EG,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
西班牙,ES,282,8,0,0,3,0,1,0,1,0,0,1,5,31,0,2,3,0,0,0,0,0,0,0,0,1,4,6,2,2,0,0,0,6,0,0,2,0,0,1,0,0,14,0,7,2,7,8,3,1,0,0,0,4,1,0,1,0,0,13,4,0,0,0,14,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,1,4,2,15,6,0,1,1,2,5,2,0,4,0,9,0,0,3,1,2,0,4,2,0,13,2,1,0,1,3,2,1,0,0,0,0,0,0,15,5,0,7,4,,,,,,,
芬兰,FI,722,9,0,0,1,1,0,0,0,0,0,0,6,27,3,4,16,4,6,1,2,0,0,0,0,3,0,4,0,0,0,2,6,2,0,1,6,0,0,0,0,0,8,0,0,3,1,15,76,0,0,0,0,0,6,0,0,0,0,12,7,7,13,0,10,0,0,1,2,3,1,0,0,4,1,0,0,0,0,1,40,0,3,3,0,6,0,4,4,15,1,2,1,9,5,3,2,4,5,0,1,2,0,0,0,35,8,0,0,1,25,0,3,4,2,4,0,2,0,17,7,5,220,4,,,,,,,
法国,FR,3490,24,4,0,16,1,2,3,2,8,58,8,60,289,12,7,80,2,1,1,35,1,2,1,2,12,30,18,10,12,1,1,1,110,0,1,38,0,3,5,3,0,279,18,42,3,68,49,13,9,0,1,0,13,15,28,21,1,0,111,107,51,25,8,52,0,1,1,11,17,4,4,0,0,2,3,3,1,21,2,1,4,6,7,9,24,8,6,61,55,10,17,3,131,32,78,0,11,11,30,1,1,35,1,1,185,87,7,1,42,112,12,13,2,3,7,0,5,14,171,108,14,276,40,,,,,,,
英国,GB,1850,11,0,0,2,18,2,1,5,1,19,1,41,223,10,15,76,5,7,1,10,1,2,3,0,5,15,8,0,7,2,1,0,23,0,1,9,0,17,4,0,0,39,2,20,4,11,26,0,1,1,0,0,8,3,6,5,0,0,112,19,7,22,6,48,0,1,0,7,7,3,2,0,2,1,2,4,0,3,0,4,1,3,13,5,3,0,6,45,16,6,25,1,61,0,6,0,7,5,9,2,1,5,1,0,97,31,10,1,10,143,6,5,2,9,6,0,8,1,111,53,20,178,16,,,,,,,
