,,2020年,2021年,2020年,2021年,2020年,2021年
,,564510,641220,362738,427911,2223056,2578614
,地区 Regions,,,,,,
天津,Tianjin,85096,95011,51092,67921,288949,352692
河北,Hebei,283859,282347,175632,239842,837897,1063792
山西,Shanxi,85379,89251,48021,69498,223410,289394
内蒙古,Inner Mongolia,71501,75793,45125,58946,240565,295125
辽宁,Liaoning,130597,132718,81384,103652,462852,556582
吉林,Jilin,75384,79358,45193,61471,253691,309803
黑龙江,Heilongjiang,93939,96990,58824,77776,321190,392827
上海,Shanghai,505260,559352,307405,420985,1737353,2117136
江苏,Jiangsu,603118,590311,367645,507784,1862454,2335946
浙江,Zhejiang,874293,837586,566301,748628,2975001,3675052
安徽,Anhui,303305,287123,174516,254033,768729,1011461
福建,Fujian,540649,500458,331738,446895,1571895,1989159
江西,Jiangxi,199735,181052,120294,172954,512617,671642
山东,Shandong,565318,545189,349751,465216,1610086,2057493
河南,Henan,435379,429656,267953,389068,1121088,1489689
湖北,Hubei,210889,220348,133448,181590,665143,833494
湖南,Hunan,244048,244563,149261,211056,710913,902594
广东,Guangdong,1755995,1738500,1079852,1437978,5430003,6766377
广西,Guangxi,121558,121037,65922,97297,295756,389044
海南,Hainan,44326,70885,23493,38277,120720,160278
重庆,Chongqing,160862,159051,104748,128539,576973,694043
四川,Sichuan,351668,353261,202200,282109,1014106,1281664
贵州,Guizhou,125649,170048,58618,97189,266864,362645
云南,Yunnan,140461,149049,83847,113873,435055,538604
西藏,Tibet,13360,14180,7572,9889,37178,47472
陕西,Shaanxi,172599,169668,96266,142766,490260,620721
甘肃,Gansu,44459,43494,27215,34945,123823,157464
青海,Qinghai,16828,15091,9331,13179,48516,60756
宁夏,Ningxia,23252,24815,13139,18210,67201,84299
新疆,Xinjiang,84648,102382,42967,62485,221995,279325
台湾,Taiwan,14441,13068,13130,11211,178968,182042
香港,Hong Kong,172615,157963,110947,150987,691065,766806
澳门,Macao,1474,1857,977,1198,7816,8762
广州,Guangzhou,486261,485618,298343,395000,1514106,1881904
长春,Changchun,36889,39168,21781,29116,119135,145236
武汉,Wuhan,98544,110050,67206,81976,335561,410214
南京,Nanjing,111933,113439,69581,90825,342504,428951
杭州,Hangzhou,260743,276743,164476,217131,812977,1025618
西安,Xi'an,101542,102887,58842,81879,307186,379496
济南,Jinan,91400,89643,57103,72691,263105,331760
沈阳,Shenyang,49736,48095,31226,39309,179060,213604
成都,Chengdu,219807,193723,125246,168488,615645,771167
大连,Dalian,30565,32864,18889,23911,117534,137748
厦门,Xiamen,123348,116262,75630,103738,391606,489933
哈尔滨,Harbin,48198,50799,30204,41442,170275,208781
深圳,Shenzhen,584659,574780,362942,464393,1730268,2165693
青岛,Qingdao,110549,105810,67342,87593,306949,391532
宁波,Ningbo,93526,82368,60163,78333,328218,401084
