,,合计 Total,农业；林业；畜牧业；狩猎；诱捕；捕鱼,焙烤；制作或处理面团的设备；焙烤用面团,屠宰；肉品处理；家禽或鱼的加工,其他类不包含的食品或食料；及其处理,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,服装,帽类制品,鞋类,服饰缝纫用品；珠宝,手携物品或旅行品,刷类制品,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,医学或兽医学；卫生学,救生；消防,运动；游戏；娱乐活动,一般的物理或化学的方法或装置,破碎、磨粉或粉碎；谷物碾磨的预处理,用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离,用于实现物理或化学工艺过程的离心装置或离心机,一般喷射或雾化；对表面涂覆流体的一般方法,一般机械振动的发生或传递,将固体从固体中分离；分选,清洁,固体废物的处理；被污染土壤的再生,基本上无切削的金属机械加工；金属冲压,铸造；粉末冶金,机床；其他类目中不包括的金属加工,磨削；抛光,手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手,手动切割工具；切割；切断,木材或类似材料的加工或保存；一般钉钉机或钉U形钉机,加工水泥、黏土或石料,塑料的加工；一般处于塑性状态物质的加工,压力机,纸品或纸板或类似纸的方式加工的材料制品制作；纸或纸板或类似纸的方式加工的材料的加工,层状产品,增材制造技术,印刷；排版机；打字机；模印机,装订；图册；文件夹；特种印刷品,书写或绘图器具；办公用品,装饰艺术,一般车辆,铁路,无轨陆用车辆 B62B手动车辆，例如手推车或摇篮车；雪橇,船舶或其他水上船只；与船有关的设备,飞行器；航空；宇宙航行,输送；包装；贮存；搬运薄的或细丝状材料,卷扬；提升；牵引,开启或封闭瓶子、罐或类似的容器；液体的贮运,鞍具；家具罩面,微观结构技术,超微技术,无机化学,水、废水、污水或污泥的处理,玻璃；矿棉或渣棉,水泥；混凝土；人造石；陶瓷；耐火材料〔4〕,肥料；肥料制造〔4〕,炸药；火柴,有机化学〔2）,有机高分子化合物；其制备或化学加工；以其为基料的组合物,染料；涂料；抛光剂；天然树脂；黏合剂；其他类目不包含的组合物；其他类目不包含的材料的应用,石油、煤气及炼焦工业；含一氧化碳的工业气体；燃料；润滑剂；泥煤,动物或植物油、脂、脂肪物质或蜡；由此制取的脂肪酸；洗涤剂；蜡烛,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程,糖工业〔4〕,小原皮；大原皮；毛皮或皮革,铁的冶金,冶金；黑色或有色金属合金；合金或有色金属的处理,对金属材料的镀覆；用金属材料对材料的镀覆；表面化学处理；金属材料的扩散处理；真空蒸发法、溅射法、离子注入法或化学气相沉积法的一般镀覆；金属材料腐蚀或积垢的一般抑制,电解或电泳工艺；其所用设备,晶体生长,组合技术,天然或化学的线或纤维；纺纱或纺丝,纱线；纱线或绳索的机械整理；整经或络经,织造,编织；花边制作；针织；饰带；非织造布,缝纫；绣花；簇绒,织物等的处理；洗涤；其他类不包括的柔性材料,绳；除电缆以外的缆索,造纸；纤维素的生产,道路，铁路和桥梁的建筑,水利工程；基础；疏浚,给水；排水,建筑物,锁；钥匙；门窗；保险箱,一般门、窗、百叶窗或卷辊遮帘；梯子,土层或岩石的钻进；采矿,一般机器或发动机；一般的发动机装置；蒸汽机,燃烧发动机；热气或燃烧生成物的发动机装置,液力机械或液力发动机；风力、弹力或重力发动机；其他类目中不包括的产生机械动力或反推力的发动机,液体变容式机械；液体泵或弹性流体泵,流体压力执行机构；一般液压技术和气动技术,工程元件或部件；为产生和保持机器或设备的有效运行的一般措施；一般绝热,气体或液体的贮存或分配,照明,蒸汽的发生,燃烧设备；燃烧方法,供热；炉灶；通风,制冷或冷却；加热和制冷的联合系统；热泵系统；冰的制造或储存；气体的液化或固化,干燥,炉；窑；烘烤炉；蒸馏炉,一般热交换,武器,弹药；爆破,测量；测试,光学技术,摄影术；电影术；利用了光波以外其他波的类似技术；电记录术；全息摄影术,测时学,控制；调节,计算；推算；计数技术,核算装置,信号装置,教育；密码术；显示；广告；印鉴,乐器；声学,信息存储,仪器的结构零部件,特别适用于特定应用领域的信息通信技术,核物理；核工程,基本电气元件,发电、变电或配电,基本电子电路,电通信技术,其它类不包括的电技术,其它类不包括的半导体器件、电固态器件
百慕大,BM,24,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0
巴西,BR,110,2,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,2,0,0,0,0,0,2,0,0,0,1,0,4,5,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,6,0,0,0,2,0,6,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,4,0,1,0,1,0,0,0,0,0,3,0,37,0,0
巴哈马,BS,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白俄罗斯,BY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加拿大,CA,631,13,0,0,0,2,1,0,3,0,3,0,13,45,0,9,14,0,0,0,3,2,1,0,0,0,4,3,0,1,0,4,1,13,0,0,2,0,0,1,0,0,38,0,12,1,30,14,0,0,0,3,0,11,3,0,1,0,0,29,10,6,0,0,4,0,0,1,1,0,2,0,0,1,0,0,1,0,0,1,1,2,0,0,2,29,0,10,2,4,2,4,1,21,3,1,0,0,2,1,0,0,3,0,0,30,5,1,0,4,50,1,4,9,12,0,0,0,6,34,13,8,49,4,6
刚果（金）,CD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
瑞士,CH,2331,20,0,0,28,137,1,0,1,12,3,1,48,252,2,3,44,10,1,1,39,0,4,2,0,6,3,26,1,25,5,4,3,27,3,2,12,0,13,6,0,0,50,4,36,3,3,107,63,2,0,3,0,12,3,5,8,0,0,165,85,24,2,2,57,0,0,0,2,7,6,0,1,66,0,4,2,0,2,0,3,4,6,1,9,2,2,1,12,6,3,16,4,44,1,1,1,8,4,4,0,1,0,0,2,169,21,0,79,19,78,5,4,2,7,0,0,13,0,120,112,20,62,12,4
智利,CL,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
中国,CN,819234,14806,539,420,4932,1319,535,89,307,327,467,107,6815,31443,1472,3671,22053,3183,963,301,4139,93,2853,4120,1617,7290,4469,18233,5019,7272,2185,1391,2365,7514,564,679,2125,7,2225,193,241,215,12340,2122,4030,2579,3738,17842,5287,582,16,392,17,7055,7759,2477,6511,529,190,20567,17222,8416,2126,579,19899,34,98,2340,4894,4007,2920,1077,64,1924,338,495,1114,728,5494,113,1123,4268,6245,1213,9193,1826,982,9908,2229,2812,1594,3762,1244,11308,1092,1783,414,1748,6779,3170,1844,1176,1193,725,1096,68550,8642,1632,262,10724,152551,2079,4613,5967,3630,1072,22,5436,806,35059,22857,5391,64903,6068,3770
哥伦比亚,CO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哥斯达黎加,CR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
古巴,CU,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塞浦路斯,CY,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,5,0,0
捷克,CZ,39,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,6,0,0
德国,DE,9444,72,3,13,8,16,5,4,12,2,7,4,103,435,11,7,155,16,2,9,54,4,12,18,0,73,77,152,33,137,19,22,5,131,9,4,36,0,67,22,1,2,1179,39,165,6,79,167,31,32,0,59,0,44,10,50,19,7,0,284,310,143,14,3,50,0,1,9,13,38,18,7,1,48,13,5,38,4,65,0,35,34,14,22,20,103,10,8,128,172,23,106,31,565,17,47,1,14,36,35,4,11,11,2,2,575,132,46,1,150,402,22,83,7,114,6,0,30,12,739,335,93,402,98,33
丹麦,DK,523,7,0,3,7,0,0,0,5,0,0,0,3,64,0,6,12,0,0,0,1,0,0,0,1,1,1,0,1,4,1,0,0,9,0,0,2,0,0,0,0,0,3,0,1,2,0,4,8,1,0,1,0,7,0,1,0,1,0,33,4,2,5,1,20,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,2,6,0,1,0,5,5,95,12,5,16,1,1,0,0,0,10,0,0,8,0,0,23,4,0,0,3,4,0,0,0,7,0,0,7,2,9,30,2,35,1,1
爱沙尼亚,EE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埃及,EG,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西班牙,ES,225,3,0,1,0,0,0,2,0,0,0,0,2,29,0,1,4,1,0,0,3,0,0,0,0,0,1,3,1,0,1,0,0,8,0,0,1,0,5,0,0,1,12,1,5,0,10,5,3,0,0,0,0,4,0,0,1,1,0,25,3,0,0,0,8,0,0,2,0,1,2,0,0,4,0,0,1,1,3,0,0,0,6,0,2,5,0,0,1,0,4,2,1,2,0,3,0,1,1,0,0,0,1,2,0,5,4,0,0,1,5,0,1,3,2,0,0,0,0,9,2,0,3,0,0
芬兰,FI,601,3,0,0,1,0,0,0,0,0,0,0,0,33,3,1,18,6,5,1,0,0,3,0,0,2,0,1,1,0,1,2,0,9,0,1,6,0,0,0,0,0,6,0,1,2,0,6,46,0,0,0,0,3,6,0,0,1,0,6,19,3,12,3,1,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,37,1,3,0,0,1,0,1,1,4,1,0,0,6,1,3,1,0,0,1,0,0,1,0,0,25,6,0,0,4,19,2,0,0,8,0,0,0,0,9,11,11,221,5,0
法国,FR,3234,16,3,0,7,2,3,0,0,1,31,5,62,302,5,5,84,0,1,0,19,7,1,0,1,7,22,7,3,11,2,1,2,95,0,2,58,0,7,6,3,0,320,6,47,7,86,41,4,4,0,3,0,46,9,19,14,2,0,94,102,35,26,2,36,1,1,1,5,9,3,0,0,3,1,6,4,0,27,7,3,1,5,1,4,3,9,7,101,56,3,37,1,114,60,30,0,12,4,23,3,2,15,1,1,147,75,8,0,20,159,2,10,9,17,13,0,2,16,191,82,31,171,19,14
英国,GB,1735,13,0,0,4,29,1,0,2,0,3,0,32,174,4,4,61,0,2,0,6,1,1,0,2,6,9,6,0,9,2,0,0,11,0,0,11,0,8,1,0,0,36,1,18,3,39,22,0,7,0,2,0,10,4,11,5,2,0,105,27,12,20,0,38,0,0,1,3,3,1,0,0,4,3,1,1,0,5,0,2,3,5,1,4,9,1,9,26,52,6,18,2,54,2,3,0,1,3,8,0,0,7,1,1,82,35,2,0,3,295,3,3,6,11,22,0,9,6,75,47,32,82,10,8
格鲁吉亚,GE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
根西岛,GG,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
直布罗陀,GI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
希腊,GR,14,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
克罗地亚,HR,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
