,,合计 Total,农业；林业；畜牧业；狩猎；诱捕；捕鱼,焙烤；制作或处理面团的设备；焙烤用面团,屠宰；肉品处理；家禽或鱼的加工,其他类不包含的食品或食料；及其处理,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,服装,帽类制品,鞋类,服饰缝纫用品；珠宝,手携物品或旅行品,刷类制品,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,医学或兽医学；卫生学,救生；消防,运动；游戏；娱乐活动,一般的物理或化学的方法或装置,破碎、磨粉或粉碎；谷物碾磨的预处理,用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离,用于实现物理或化学工艺过程的离心装置或离心机,一般喷射或雾化；对表面涂覆流体的一般方法,一般机械振动的发生或传递,将固体从固体中分离；分选,清洁,固体废物的处理；被污染土壤的再生,基本上无切削的金属机械加工；金属冲压,铸造；粉末冶金,机床；其他类目中不包括的金属加工,磨削；抛光,手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手,手动切割工具；切割；切断,木材或类似材料的加工或保存；一般钉钉机或钉U形钉机,加工水泥、黏土或石料,塑料的加工；一般处于塑性状态物质的加工,压力机,纸品或纸板或类似纸的方式加工的材料制品制作；纸或纸板或类似纸的方式加工的材料的加工,层状产品,印刷；排版机；打字机；模印机,装订；图册；文件夹；特种印刷品,书写或绘图器具；办公用品,装饰艺术,一般车辆,铁路,无轨陆用车辆 B62B手动车辆，例如手推车或摇篮车；雪橇,船舶或其他水上船只；与船有关的设备,飞行器；航空；宇宙航行,输送；包装；贮存；搬运薄的或细丝状材料,卷扬；提升；牵引,开启或封闭瓶子、罐或类似的容器；液体的贮运,鞍具；家具罩面,微观结构技术,超微技术,无机化学,水、废水、污水或污泥的处理,玻璃；矿棉或渣棉,水泥；混凝土；人造石；陶瓷；耐火材料〔4〕,肥料；肥料制造〔4〕,炸药；火柴,有机化学〔2）,有机高分子化合物；其制备或化学加工；以其为基料的组合物,染料；涂料；抛光剂；天然树脂；黏合剂；其他类目不包含的组合物；其他类目不包含的材料的应用,石油、煤气及炼焦工业；含一氧化碳的工业气体；燃料；润滑剂；泥煤,动物或植物油、脂、脂肪物质或蜡；由此制取的脂肪酸；洗涤剂；蜡烛,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程,糖工业〔4〕,小原皮；大原皮；毛皮或皮革,铁的冶金,冶金；黑色或有色金属合金；合金或有色金属的处理,对金属材料的镀覆；用金属材料对材料的镀覆；表面化学处理；金属材料的扩散处理；真空蒸发法、溅射法、离子注入法或化学气相沉积法的一般镀覆；金属材料腐蚀或积垢的一般抑制,电解或电泳工艺；其所用设备,晶体生长,组合技术,天然或化学的线或纤维；纺纱或纺丝,纱线；纱线或绳索的机械整理；整经或络经,织造,编织；花边制作；针织；饰带；非织造布,缝纫；绣花；簇绒,织物等的处理；洗涤；其他类不包括的柔性材料,绳；除电缆以外的缆索,造纸；纤维素的生产,道路，铁路和桥梁的建筑,水利工程；基础；疏浚,给水；排水,建筑物,锁；钥匙；门窗；保险箱,一般门、窗、百叶窗或卷辊遮帘；梯子,土层或岩石的钻进；采矿,一般机器或发动机；一般的发动机装置；蒸汽机,燃烧发动机；热气或燃烧生成物的发动机装置,液力机械或液力发动机；风力、弹力或重力发动机；其他类目中不包括的产生机械动力或反推力的发动机,液体变容式机械；液体泵或弹性流体泵,流体压力执行机构；一般液压技术和气动技术,工程元件或部件；为产生和保持机器或设备的有效运行的一般措施；一般绝热,气体或液体的贮存或分配,照明,蒸汽的发生,燃烧设备；燃烧方法,供热；炉灶；通风,制冷或冷却；加热和制冷的联合系统；热泵系统；冰的制造或储存；气体的液化或固化,干燥,炉；窑；烘烤炉；蒸馏炉,一般热交换,武器,弹药；爆破,测量；测试,光学技术,摄影术；电影术；利用了光波以外其他波的类似技术；电记录术；全息摄影术,测时学,控制；调节,计算；推算；计数技术,核算装置,信号装置,教育；密码术；显示；广告；印鉴,乐器；声学,信息存储,仪器的结构零部件,特别适用于特定应用领域的信息通信技术,核物理；核工程,基本电气元件,发电、变电或配电,基本电子电路,电通信技术,其它类不包括的电技术,其它类不包括的半导体器件、电固态器件
巴西,BR,117,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,41,0,0,0,10,0,0,0,0,0,1,0,30,0,0
加拿大,CA,275,3,0,0,0,1,6,0,0,1,4,0,3,18,0,7,2,0,0,0,2,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,1,2,0,3,3,1,0,0,0,0,0,2,0,1,1,0,11,5,1,2,0,5,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,21,0,2,0,0,0,3,0,7,0,3,0,2,0,0,0,0,1,0,0,12,2,1,0,2,27,2,1,4,2,0,0,0,3,42,12,0,14,3,3
刚果（金）,CD,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
瑞士,CH,1319,4,0,0,3,31,1,0,1,23,0,0,19,131,1,0,20,0,0,0,12,1,1,0,0,1,3,14,3,7,1,0,0,11,0,1,4,6,0,0,1,30,1,20,1,1,45,6,9,0,0,0,0,0,0,3,0,0,29,13,6,1,0,18,0,0,1,2,4,2,0,0,23,0,0,0,0,3,1,0,0,3,5,2,0,1,0,5,15,0,7,7,27,0,1,1,4,5,1,1,1,0,0,0,173,17,1,115,22,68,0,4,1,0,12,0,7,0,138,74,10,56,13,3
智利,CL,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中国,CN,1504140,22593,822,515,11890,3102,866,266,688,342,704,124,10565,58223,2348,5178,36921,4686,2101,579,6740,232,4766,6278,2592,13229,7704,33469,9098,12592,3226,1730,5041,15430,856,1047,3600,2859,158,210,377,29030,3112,6445,5490,5767,29381,9816,1028,27,515,14,10804,14067,3303,10641,2221,338,26891,25400,15654,4105,1529,30087,50,208,4462,10385,6665,6422,2146,85,2720,635,824,1624,709,7822,163,1652,9500,12491,2648,17975,2793,1750,17665,3404,4580,3694,8164,2374,23017,2710,3080,1027,3695,15355,6340,2963,2946,3074,970,1452,134113,13800,3259,419,22305,291223,3738,9264,9393,6686,2512,15,12362,1639,79535,50036,7069,105612,13312,8197
哥伦比亚,CO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哥斯达黎加,CR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塞浦路斯,CY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0
捷克,CZ,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0
德国,DE,6580,27,2,2,10,3,2,1,13,1,5,6,66,250,4,3,59,18,1,1,27,5,3,10,0,16,9,74,10,74,5,2,3,80,2,5,14,34,2,3,0,972,12,112,2,47,141,22,18,0,9,0,4,3,26,5,0,2,68,40,62,0,3,25,0,0,2,6,15,9,1,1,14,0,1,11,4,44,0,10,37,7,12,6,41,4,9,79,58,18,101,31,435,9,43,1,6,19,32,4,3,16,0,1,613,81,22,3,80,560,19,58,13,35,2,0,36,1,705,329,38,333,126,11
丹麦,DK,286,1,0,0,3,0,0,0,1,0,0,0,4,45,0,0,3,0,0,0,3,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,2,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,1,1,5,3,0,3,10,12,1,1,7,1,4,0,1,5,5,0,1,10,0,0,13,2,0,0,1,7,0,0,0,3,0,0,1,0,0,13,1,64,1,0
阿尔及利亚,DZ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
爱沙尼亚,EE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
埃及,EG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西班牙,ES,129,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,8,0,2,0,6,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,34,0,0,4,2,1,0,0,0,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,2,0
埃塞俄比亚,ET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
芬兰,FI,294,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,2,1,0,0,0,0,0,0,0,0,3,1,1,0,3,0,3,0,0,0,0,0,0,0,1,0,0,1,0,9,3,0,0,0,0,1,0,1,0,0,0,4,3,1,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,12,0,0,0,2,0,0,1,0,0,1,0,1,2,0,0,1,2,0,0,1,1,1,0,0,10,4,0,0,0,13,0,1,1,8,0,0,0,0,14,4,1,162,1,0
法国,FR,1338,5,0,1,4,0,1,0,2,3,12,1,37,98,0,4,33,1,0,1,9,0,0,3,0,6,1,4,1,7,1,1,0,36,0,0,7,3,0,0,1,101,3,22,3,75,11,7,0,0,0,0,2,2,5,2,0,0,25,15,4,4,0,11,0,0,0,3,2,2,0,0,0,0,2,0,0,5,0,0,0,1,0,0,2,2,0,3,9,0,4,0,41,36,20,0,3,3,13,1,1,5,0,0,82,27,1,1,18,94,1,3,4,4,5,0,2,9,157,62,19,89,20,7
英国,GB,844,2,0,0,1,88,1,0,5,0,8,0,13,81,0,2,14,0,0,0,2,0,0,0,0,2,0,5,0,4,0,1,2,4,0,0,1,0,0,0,0,27,0,7,1,34,12,1,2,0,0,0,0,3,0,1,2,0,21,8,3,10,0,23,0,0,1,1,1,0,2,0,0,0,0,0,0,4,0,3,0,1,0,2,0,0,1,5,15,1,4,0,16,2,6,0,0,3,0,0,0,0,0,0,36,20,8,0,3,159,1,3,5,4,5,0,2,0,34,32,11,55,3,4
希腊,GR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
克罗地亚,HR,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
匈牙利,HU,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
印度尼西亚,ID,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
爱尔兰,IE,170,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,14,0,0,0,3,3,0,4,0,24,26,15,6,3,0
以色列,IL,414,13,0,0,0,0,0,0,0,0,0,0,1,143,0,1,2,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,2,0,0,0,5,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,48,27,3,0,1,41,0,1,0,1,1,0,0,0,22,16,2,41,0,0
印度,IN,39,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,6,1,1,3,1,0
